 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        etth11      etth22      etth33
  0.2246E-01 -0.1014E-01 -0.1077E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.7760E+03  0.7629E-05  0.9450E-02  0.1583E+02  0.7298E+01 -0.6753E+01     0.3674E-02 -0.1002E-02 -0.1122E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2297E-01 -0.1038E-01 -0.1102E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.7794E+03  0.3576E-04  0.9325E-02  0.1602E+02  0.7338E+01 -0.6798E+01     0.3690E-02 -0.1006E-02 -0.1127E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2348E-01 -0.1063E-01 -0.1128E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.7828E+03 -0.7381E-04  0.9462E-02  0.1623E+02  0.7398E+01 -0.6815E+01     0.3706E-02 -0.1011E-02 -0.1132E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2399E-01 -0.1087E-01 -0.1154E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.7861E+03 -0.1666E-03  0.9480E-02  0.1642E+02  0.7461E+01 -0.6831E+01     0.3722E-02 -0.1015E-02 -0.1136E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2450E-01 -0.1112E-01 -0.1180E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.7893E+03 -0.2627E-03  0.9730E-02  0.1660E+02  0.7499E+01 -0.6855E+01     0.3737E-02 -0.1019E-02 -0.1141E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2501E-01 -0.1136E-01 -0.1206E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.7924E+03 -0.8540E-04  0.9915E-02  0.1677E+02  0.7530E+01 -0.6872E+01     0.3752E-02 -0.1023E-02 -0.1146E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2552E-01 -0.1161E-01 -0.1232E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.7955E+03 -0.2938E-03  0.1000E-01  0.1695E+02  0.7538E+01 -0.6859E+01     0.3766E-02 -0.1027E-02 -0.1150E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2604E-01 -0.1185E-01 -0.1258E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.7985E+03 -0.1171E-03  0.1002E-01  0.1712E+02  0.7535E+01 -0.6831E+01     0.3781E-02 -0.1031E-02 -0.1154E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2655E-01 -0.1209E-01 -0.1284E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8015E+03 -0.2266E-03  0.1019E-01  0.1730E+02  0.7551E+01 -0.6772E+01     0.3795E-02 -0.1035E-02 -0.1159E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2706E-01 -0.1233E-01 -0.1311E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8044E+03 -0.3475E-03  0.1032E-01  0.1748E+02  0.7558E+01 -0.6712E+01     0.3808E-02 -0.1039E-02 -0.1163E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2757E-01 -0.1258E-01 -0.1337E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8073E+03 -0.2746E-03  0.1039E-01  0.1765E+02  0.7575E+01 -0.6649E+01     0.3822E-02 -0.1042E-02 -0.1167E-02     0.0000E+00  0.0000E+00  0.0000E+00
