 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
           Ctrl            EP1            EP2            EP3           SIG1           SIG2           SIG3          MODE1          MODE2          ActAv         PMODE1         PMODE2         PActAv         CMODE1         CMODE2         CActAv         nGrain       MaxTwins
        0.02655        0.02655       -0.01209       -0.01284      801.52229       -0.00023        0.01019        0.33376        0.66624        6.11574        0.35235        0.64765        6.02637        0.32249        0.67751        4.30498      282.00000        0.00000
        0.02706        0.02706       -0.01233       -0.01311      804.42245       -0.00035        0.01032        0.33125        0.66875        6.12203        0.34963        0.65037        6.03605        0.32326        0.67674        4.31682      282.00000        0.00000
        0.02757        0.02757       -0.01258       -0.01337      807.26532       -0.00027        0.01039        0.33134        0.66866        6.14912        0.34764        0.65236        6.08681        0.32858        0.67142        4.30620      282.00000        0.00000
        0.02808        0.02808       -0.01282       -0.01363      810.05954       -0.00020        0.01038        0.33335        0.66665        6.15970        0.35056        0.64944        6.09961        0.32547        0.67453        4.30916      282.00000        0.00000
        0.02859        0.02859       -0.01306       -0.01390      812.78336       -0.00048        0.01057        0.33337        0.66663        6.17932        0.35196        0.64804        6.10777        0.32333        0.67667        4.32542      282.00000        0.00000
        0.02910        0.02910       -0.01330       -0.01416      815.44907       -0.00049        0.01067        0.33303        0.66697        6.20084        0.35293        0.64707        6.14071        0.32559        0.67441        4.34967      282.00000        0.00000
        0.02961        0.02961       -0.01354       -0.01442      818.05485       -0.00055        0.01077        0.33338        0.66662        6.19614        0.35120        0.64880        6.13515        0.32245        0.67755        4.34827      282.00000        0.00000
        0.03012        0.03012       -0.01378       -0.01469      820.63260       -0.00052        0.01089        0.33326        0.66674        6.20079        0.34937        0.65063        6.15481        0.32385        0.67615        4.33986      282.00000        0.00000
        0.03063        0.03063       -0.01403       -0.01495      823.17871       -0.00066        0.01108        0.33349        0.66651        6.18292        0.35268        0.64732        6.10908        0.32522        0.67478        4.35154      282.00000        0.00000
        0.03114        0.03114       -0.01427       -0.01521      825.70668       -0.00047        0.01099        0.33294        0.66706        6.14121        0.35034        0.64966        6.06567        0.32283        0.67717        4.33501      282.00000        0.00000
        0.03165        0.03165       -0.01451       -0.01548      828.24213       -0.00072        0.01152        0.33129        0.66871        6.08112        0.34832        0.65168        6.00683        0.32405        0.67595        4.32011      282.00000        0.00000
        0.03216        0.03216       -0.01475       -0.01574      830.82675       -0.00066        0.01159        0.33134        0.66866        6.03024        0.34861        0.65139        5.94402        0.32414        0.67586        4.30674      282.00000        0.00000
        0.03267        0.03267       -0.01499       -0.01601      833.48552       -0.00061        0.01144        0.32987        0.67013        5.91847        0.34709        0.65291        5.82516        0.32332        0.67668        4.26417      282.00000        0.00000
        0.03318        0.03318       -0.01523       -0.01628      836.19025       -0.00064        0.01153        0.33080        0.66920        5.90076        0.34842        0.65158        5.81701        0.32332        0.67668        4.26153      282.00000        0.00000
        0.03369        0.03369       -0.01547       -0.01654      838.88887       -0.00084        0.01155        0.33148        0.66852        5.88543        0.35046        0.64954        5.80706        0.32108        0.67892        4.25705      282.00000        0.00000
        0.03420        0.03420       -0.01571       -0.01681      841.57987       -0.00039        0.01124        0.33186        0.66814        5.86836        0.34902        0.65098        5.80030        0.32429        0.67571        4.24266      282.00000        0.00000
        0.03471        0.03471       -0.01595       -0.01707      844.24646       -0.00081        0.01157        0.33158        0.66842        5.83883        0.34784        0.65216        5.78694        0.32598        0.67402        4.21894      282.00000        0.00000
        0.03522        0.03522       -0.01619       -0.01733      846.88434       -0.00066        0.01140        0.33375        0.66625        5.84149        0.35105        0.64895        5.79659        0.32583        0.67417        4.22098      282.00000        0.00000
        0.03573        0.03573       -0.01643       -0.01760      849.48057       -0.00027        0.01117        0.33268        0.66732        5.83572        0.34947        0.65053        5.78729        0.32499        0.67501        4.23248      282.00000        0.00000
        0.03625        0.03625       -0.01667       -0.01786      852.04897       -0.00036        0.01131        0.33357        0.66643        5.83538        0.35169        0.64831        5.81053        0.32528        0.67472        4.23328      282.00000        0.00000
        0.03676        0.03676       -0.01691       -0.01813      854.58952       -0.00088        0.01182        0.32905        0.67095        5.80250        0.34807        0.65193        5.77158        0.32444        0.67556        4.21776      282.00000        0.00000
        0.03727        0.03727       -0.01715       -0.01839      857.10084       -0.00091        0.01195        0.32893        0.67107        5.78170        0.34888        0.65112        5.73660        0.32393        0.67607        4.21872      282.00000        0.00000
        0.03778        0.03778       -0.01739       -0.01866      859.60387       -0.00096        0.01204        0.33079        0.66921        5.74876        0.35200        0.64800        5.69957        0.32411        0.67589        4.21906      282.00000        0.00000
