 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        wgt_ph
  0.3505E-01 -0.1660E-01 -0.1689E-01 -0.3418E-03 -0.2362E-03  0.2489E-03     0.1110E+04 -0.1024E+03 -0.1450E+03  0.3231E+02  0.1548E+02 -0.2021E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3555E-01 -0.1684E-01 -0.1713E-01 -0.3451E-03 -0.2387E-03  0.2490E-03     0.1113E+04 -0.1024E+03 -0.1453E+03  0.3245E+02  0.1548E+02 -0.2024E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3604E-01 -0.1708E-01 -0.1738E-01 -0.3484E-03 -0.2411E-03  0.2491E-03     0.1116E+04 -0.1023E+03 -0.1457E+03  0.3259E+02  0.1549E+02 -0.2026E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3653E-01 -0.1732E-01 -0.1763E-01 -0.3523E-03 -0.2432E-03  0.2494E-03     0.1119E+04 -0.1023E+03 -0.1460E+03  0.3274E+02  0.1550E+02 -0.2029E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3702E-01 -0.1756E-01 -0.1788E-01 -0.3561E-03 -0.2454E-03  0.2496E-03     0.1122E+04 -0.1023E+03 -0.1463E+03  0.3290E+02  0.1550E+02 -0.2032E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3751E-01 -0.1780E-01 -0.1812E-01 -0.3596E-03 -0.2478E-03  0.2500E-03     0.1124E+04 -0.1023E+03 -0.1467E+03  0.3305E+02  0.1550E+02 -0.2035E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3800E-01 -0.1804E-01 -0.1837E-01 -0.3629E-03 -0.2496E-03  0.2501E-03     0.1127E+04 -0.1023E+03 -0.1470E+03  0.3320E+02  0.1549E+02 -0.2037E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3849E-01 -0.1828E-01 -0.1862E-01 -0.3664E-03 -0.2515E-03  0.2504E-03     0.1130E+04 -0.1023E+03 -0.1473E+03  0.3334E+02  0.1548E+02 -0.2039E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3898E-01 -0.1852E-01 -0.1887E-01 -0.3697E-03 -0.2532E-03  0.2507E-03     0.1132E+04 -0.1023E+03 -0.1476E+03  0.3348E+02  0.1548E+02 -0.2041E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3947E-01 -0.1875E-01 -0.1912E-01 -0.3728E-03 -0.2544E-03  0.2510E-03     0.1135E+04 -0.1023E+03 -0.1480E+03  0.3363E+02  0.1548E+02 -0.2042E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
