  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.169 0.9868789E+06 0.9771848E+12 0.1451823E+13 0.8056647E+12
   0.170 0.9870479E+06 0.9771183E+12 0.1451945E+13 0.8062021E+12
   0.171 0.9871950E+06 0.9770352E+12 0.1452038E+13 0.8067351E+12
   0.172 0.9873244E+06 0.9769403E+12 0.1452104E+13 0.8072633E+12
   0.173 0.9874378E+06 0.9768332E+12 0.1452142E+13 0.8077868E+12
   0.174 0.9875371E+06 0.9767136E+12 0.1452155E+13 0.8083057E+12
   0.175 0.9876246E+06 0.9765816E+12 0.1452143E+13 0.8088202E+12
   0.176 0.9877023E+06 0.9764377E+12 0.1452106E+13 0.8093303E+12
   0.177 0.9877722E+06 0.9762815E+12 0.1452046E+13 0.8098361E+12
   0.178 0.9878362E+06 0.9761128E+12 0.1451964E+13 0.8103379E+12
   0.179 0.9879043E+06 0.9759496E+12 0.1451856E+13 0.8108337E+12
   0.180 0.9879798E+06 0.9757949E+12 0.1451724E+13 0.8113233E+12
   0.181 0.9880641E+06 0.9756473E+12 0.1451568E+13 0.8118070E+12
   0.182 0.9881588E+06 0.9755055E+12 0.1451390E+13 0.8122850E+12
   0.183 0.9882653E+06 0.9753682E+12 0.1451190E+13 0.8127576E+12
   0.184 0.9883851E+06 0.9752341E+12 0.1450969E+13 0.8132250E+12
   0.185 0.9885199E+06 0.9751022E+12 0.1450729E+13 0.8136874E+12
   0.186 0.9886712E+06 0.9749712E+12 0.1450470E+13 0.8141450E+12
   0.187 0.9888409E+06 0.9748400E+12 0.1450194E+13 0.8145980E+12
   0.188 0.9890306E+06 0.9747076E+12 0.1449901E+13 0.8150467E+12
   0.189 0.9892419E+06 0.9745730E+12 0.1449593E+13 0.8154912E+12
   0.190 0.9894767E+06 0.9744352E+12 0.1449270E+13 0.8159318E+12
   0.191 0.9897600E+06 0.9743128E+12 0.1448963E+13 0.8163867E+12
   0.192 0.9900697E+06 0.9741848E+12 0.1448642E+13 0.8168377E+12
   0.193 0.9904073E+06 0.9740504E+12 0.1448309E+13 0.8172849E+12
   0.194 0.9907744E+06 0.9739084E+12 0.1447964E+13 0.8177287E+12
   0.195 0.9911727E+06 0.9737580E+12 0.1447607E+13 0.8181691E+12
   0.196 0.9916047E+06 0.9735986E+12 0.1447241E+13 0.8186063E+12
   0.197 0.9920740E+06 0.9734292E+12 0.1446867E+13 0.8190408E+12
   0.198 0.9925821E+06 0.9732493E+12 0.1446486E+13 0.8194726E+12
   0.199 0.9931304E+06 0.9730582E+12 0.1446098E+13 0.8199018E+12
   0.200 0.9937205E+06 0.9728554E+12 0.1445703E+13 0.8203285E+12
